task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
296	9b/67336f	4149932	roi_creator (34)	COMPLETED	0	2025-10-27 01:33:02.898	2m 10s	2m 9s	100.2%	198.8 MB	307.9 MB	4.9 GB	10.2 MB
84	52/40773e	3478920	fastsurfer (84)	COMPLETED	0	2025-10-27 00:46:40.240	57m 58s	57m 57s	855.6%	13 GB	525.7 GB	3.7 GB	431.1 MB
297	bc/58ed7e	119794	nifti_converter (35)	COMPLETED	0	2025-10-27 01:44:38.819	2s	1.4s	99.6%	72.8 MB	112 MB	7.6 MB	80 MB
298	5a/0460f5	120329	roi_creator (35)	COMPLETED	0	2025-10-27 01:44:41.872	2m 54s	2m 53s	100.0%	198.8 MB	307.9 MB	4.9 GB	10.3 MB
58	8e/0d4f8d	3606211	fastsurfer (58)	COMPLETED	0	2025-10-27 00:55:57.941	59m 3s	59m 2s	744.4%	12.7 GB	525.4 GB	3.7 GB	420.7 MB
299	6b/533ddd	245862	nifti_converter (36)	COMPLETED	0	2025-10-27 01:55:01.873	1.8s	1.3s	101.0%	73.5 MB	112 MB	7.5 MB	80 MB
300	8d/117883	246669	roi_creator (36)	COMPLETED	0	2025-10-27 01:55:04.717	2m 53s	2m 53s	99.9%	198.8 MB	307.9 MB	4.9 GB	10.2 MB
52	7f/ce57e0	4042006	fastsurfer (52)	COMPLETED	0	2025-10-27 01:28:34.146	1h 23m 3s	1h 23m 2s	1025.1%	13 GB	525.7 GB	3.5 GB	390.8 MB
301	cb/05da51	564818	nifti_converter (37)	COMPLETED	0	2025-10-27 02:51:37.203	2.1s	1.5s	98.8%	73.5 MB	112 MB	7 MB	80 MB
302	fd/d6840f	565805	roi_creator (37)	COMPLETED	0	2025-10-27 02:51:40.319	2m 45s	2m 45s	100.1%	198.8 MB	307.9 MB	4.9 GB	10.2 MB
13	9c/8893eb	3877209	fastsurfer (13)	COMPLETED	0	2025-10-27 01:22:24.387	1h 46m 27s	1h 46m 27s	1077.5%	13 GB	525.8 GB	3.7 GB	419.7 MB
303	b5/31545c	719108	nifti_converter (38)	COMPLETED	0	2025-10-27 03:08:52.699	1.4s	826ms	101.1%	12.8 MB	62.4 MB	7.1 MB	80 MB
304	09/9bbc37	719998	roi_creator (38)	COMPLETED	0	2025-10-27 03:08:55.152	2m 11s	2m 11s	100.4%	198.8 MB	307.9 MB	4.9 GB	10.2 MB
95	52/046879	3806387	fastsurfer (95)	COMPLETED	0	2025-10-27 01:19:20.328	1h 52m 24s	1h 52m 23s	1038.4%	12.7 GB	525.4 GB	3.9 GB	458.1 MB
305	b4/ab7ee9	791409	nifti_converter (39)	COMPLETED	0	2025-10-27 03:11:45.286	1.5s	950ms	100.7%	12.8 MB	62.4 MB	7.9 MB	80 MB
306	e5/0a8585	792502	roi_creator (39)	COMPLETED	0	2025-10-27 03:11:47.837	2m 20s	2m 20s	100.2%	198.8 MB	307.9 MB	4.9 GB	10.3 MB
2	bf/8b8f05	245283	fastsurfer (2)	COMPLETED	0	2025-10-27 01:55:00.866	1h 19m 12s	1h 19m 12s	1156.9%	12.7 GB	525.5 GB	3.5 GB	395.6 MB
307	05/5df8e3	863802	nifti_converter (40)	COMPLETED	0	2025-10-27 03:14:14.222	1.6s	1s	99.5%	10.5 MB	62.4 MB	7.1 MB	80 MB
89	c9/da585d	3952491	fastsurfer (89)	COMPLETED	0	2025-10-27 01:25:07.401	1h 50m 28s	1h 50m 27s	1184.9%	12.5 GB	525 GB	3.9 GB	454.4 MB
309	bd/c87178	924153	nifti_converter (41)	COMPLETED	0	2025-10-27 03:15:35.079	1.7s	1.2s	98.7%	72.8 MB	112 MB	7.6 MB	80 MB
35	89/65b15d	4148746	fastsurfer (35)	COMPLETED	0	2025-10-27 01:32:59.381	1h 43m 33s	1h 43m 32s	1103.5%	12.5 GB	525 GB	3.6 GB	407.3 MB
308	0a/c62e37	864782	roi_creator (40)	COMPLETED	0	2025-10-27 03:14:16.788	2m 16s	2m 15s	100.3%	198.8 MB	307.9 MB	4.9 GB	10.2 MB
311	60/f74fc8	986287	nifti_converter (42)	COMPLETED	0	2025-10-27 03:16:32.561	1.5s	892ms	100.7%	11.3 MB	62.4 MB	7.2 MB	80 MB
310	e9/d07490	926110	roi_creator (41)	COMPLETED	0	2025-10-27 03:15:37.808	2m 10s	2m 10s	100.3%	198.8 MB	307.9 MB	4.9 GB	10.3 MB
312	49/e2c43e	988799	roi_creator (42)	COMPLETED	0	2025-10-27 03:16:35.103	2m 5s	2m 4s	100.3%	198.8 MB	307.9 MB	4.9 GB	10.2 MB
94	4c/41400f	119138	fastsurfer (94)	COMPLETED	0	2025-10-27 01:44:37.812	1h 45m 2s	1h 45m 1s	1078.3%	13 GB	525.7 GB	3.8 GB	447.7 MB
313	89/e4ec72	1200087	nifti_converter (43)	COMPLETED	0	2025-10-27 03:29:40.648	1.8s	1.3s	100.3%	72.8 MB	112 MB	8 MB	80 MB
314	23/cee72a	1200608	roi_creator (43)	COMPLETED	0	2025-10-27 03:29:43.497	2m 35s	2m 35s	100.1%	198.8 MB	307.9 MB	4.9 GB	10.3 MB
73	8c/de4481	564812	fastsurfer (73)	COMPLETED	0	2025-10-27 02:51:37.194	48m 14s	48m 14s	802.6%	13 GB	525.7 GB	3.5 GB	401.8 MB
315	f2/ae31eb	1331019	nifti_converter (44)	COMPLETED	0	2025-10-27 03:39:51.519	2.1s	1.5s	99.5%	72.8 MB	112 MB	7.4 MB	80 MB
316	84/eb547f	1332047	roi_creator (44)	COMPLETED	0	2025-10-27 03:39:54.594	2m 52s	2m 52s	100.0%	198.8 MB	307.9 MB	4.9 GB	10.2 MB
8	57/eeb1b9	863024	fastsurfer (8)	COMPLETED	0	2025-10-27 03:14:13.216	1h 25m 12s	1h 25m 12s	1188.5%	12.5 GB	525 GB	3.4 GB	379.1 MB
317	73/5ff08f	1679982	nifti_converter (45)	COMPLETED	0	2025-10-27 04:39:26.469	2.1s	1.4s	100.1%	72.8 MB	112 MB	7.2 MB	80 MB
318	1c/63a36c	1680497	roi_creator (45)	COMPLETED	0	2025-10-27 04:39:29.545	2m 53s	2m 52s	99.9%	198.8 MB	307.9 MB	4.9 GB	10.2 MB
